name,code
DL,000210.KS
DRB동일,004840.KS
DSR,155660.KS
GS,078930.KS
HDC현대산업개발,294870.KS
KG케미칼,001390.KS
KPX케미칼,025000.KS
KSS해운,044450.KS
KTis,058860.KS
LG이노텍,011070.KS
LG헬로비전,037560.KS
LX하우시스,108670.KS
LX홀딩스,383800.KS
MH에탄올,023150.KS
OCI,010060.KS
PI첨단소재,178920.KS
SK스퀘어,402340.KS
SK이노베이션,096770.KS
STX,011810.KS
WISCOM,024070.KS
갤럭시아에스엠,011420.KS
경농,002100.KS
경동인베스트,012320.KS
국도화학,007690.KS
극동유화,014530.KS
노루페인트,090350.KS
녹십자홀딩스,005250.KS
대덕전자,353200.KS
대성산업,128820.KS
대우건설,047040.KS
대원강업,000430.KS
동화약품,000020.KS
두산퓨얼셀,336260.KS
락앤락,115390.KS
롯데정보통신,286940.KS
메리츠증권,008560.KS
메리츠화재,000060.KS
명문제약,017180.KS
모나리자,012690.KS
모두투어리츠,204210.KS
보령,003850.KS
부국증권,001270.KS
비케이탑스,030790.KS
삼성엔지니어링,028050.KS
삼성전자,005930.KS
삼성출판사,068290.KS
삼양식품,003230.KS
삼영화학공업,003720.KS
삼익THK,004380.KS
삼호개발,010960.KS
선진,136490.KS
세방전지,004490.KS
신대양제지,016590.KS
신도리코,029530.KS
신세계인터내셔날,031430.KS
신한알파리츠,293940.KS
신한지주,055550.KS
에이블씨엔씨,078520.KS
영화금속,012280.KS
오뚜기,007310.KS
오리온,271560.KS
우진,105840.KS
윌비스,008600.KS
유나이티드,033270.KS
인지컨트롤스,023800.KS
인터지스,129260.KS
일성건설,013360.KS
일진다이아,081000.KS
자화전자,033240.KS
제일약품,271980.KS
제일파마홀딩스,002620.KS
조비,001550.KS
종근당홀딩스,001630.KS
진에어,272450.KS
케이씨티시,009070.KS
코람코더원리츠,417310.KS
코오롱글로벌,003070.KS
콘텐트리중앙,036420.KS
콤텍시스템,031820.KS
키다리스튜디오,020120.KS
태양금속공업,004100.KS
토니모리,214420.KS
한미사이언스,008930.KS
한샘,009240.KS
한솔로지스틱스,009180.KS
한일철강,002220.KS
한창제지,009460.KS
한화생명,088350.KS
핸즈코퍼레이션,143210.KS
현대건설,000720.KS
현대비앤지스틸,004560.KS
현대자동차,005380.KS
현대차증권,001500.KS
현대퓨처넷,126560.KS
호전실업,111110.KS
CJ CGV,079160.KS
CJ제일제당,097950.KS
CS홀딩스,000590.KS
DN오토모티브,007340.KS
DSR제강,069730.KS
F&F 홀딩스,007700.KS
GS리테일,007070.KS
HDC,012630.KS
JW홀딩스,096760.KS
KB금융,105560.KS
KEC,092220.KS
KR모터스,000040.KS
KTcs,058850.KS
LS전선아시아,229640.KS
SKC,011790.KS
SK디앤디,210980.KS
강원랜드,035250.KS
경동나비엔,009450.KS
교보증권,030610.KS
금강공업,014280.KS
금호건설,002990.KS
금호전기,001210.KS
기업은행,024110.KS
녹십자,006280.KS
다올투자증권,030210.KS
대구백화점,006370.KS
대성에너지,117580.KS
대원제약,003220.KS
대한방직,001070.KS
대한해운,005880.KS
덕양산업,024900.KS
동아에스티,170900.KS
동아지질,028100.KS
동양생명,082640.KS
동원금속,018500.KS
디아이,003160.KS
디앤디플랫폼리츠,377190.KS
롯데정밀화학,004000.KS
무학,033920.KS
보락,002760.KS
빙그레,005180.KS
사조대림,003960.KS
삼부토건,001470.KS
서원,021050.KS
세방,004360.KS
세아홀딩스,058650.KS
세우글로벌,013000.KS
세원정공,021820.KS
세이브존I&C,067830.KS
솔루스첨단소재,336370.KS
수산중공업,017550.KS
신송홀딩스,006880.KS
신일전자,002700.KS
아모레퍼시픽,090430.KS
아이마켓코리아,122900.KS
아이에이치큐,003560.KS
에스엠벡셀,010580.KS
엔씨소프트,036570.KS
영보화학,014440.KS
유니온머티리얼,047400.KS
이수화학,005950.KS
인디에프,014990.KS
인천도시가스,034590.KS
일동홀딩스,000230.KS
조흥,002600.KS
카카오뱅크,323410.KS
코리아써키트,007810.KS
코스모화학,005420.KS
코아스,071950.KS
코오롱,002020.KS
코오롱플라스틱,138490.KS
큐로,015590.KS
크래프톤,259960.KS
태광산업,003240.KS
태영건설,009410.KS
티비에이치글로벌,084870.KS
포스코케미칼,003670.KS
하이트진로,000080.KS
한국금융지주,071050.KS
한국전자홀딩스,006200.KS
한국조선해양,009540.KS
한국종합기술,023350.KS
한국타이어앤테크놀로지,161390.KS
한국프랜지공업,010100.KS
한온시스템,018880.KS
한올바이오파마,009420.KS
한화,000880.KS
호텔신라,008770.KS
화승인더스트리,006060.KS
화천기공,000850.KS
환인제약,016580.KS
효성,004800.KS
효성화학,298000.KS
흥국화재,000540.KS
BGF리테일,282330.KS
BNK금융지주,138930.KS
GS건설,006360.KS
LG전자,066570.KS
SBS,034120.KS
SG글로벌,001380.KS
SHD,001770.KS
SK,034730.KS
SK가스,018670.KS
SK디스커버리,006120.KS
SK렌터카,068400.KS
SK리츠,395400.KS
STX중공업,071970.KS
YG PLUS,037270.KS
국동,005320.KS
국제약품,002720.KS
금양,001570.KS
금호타이어,073240.KS
남선알미늄,008350.KS
농심홀딩스,072710.KS
다스코,058730.KS
대한유화,006650.KS
더블유게임즈,192080.KS
동방아그로,007590.KS
동서,026960.KS
동성케미컬,102260.KS
동양,001520.KS
동양철관,008970.KS
동원F&B,049770.KS
동원시스템즈,014820.KS
동일제강,002690.KS
디와이,013570.KS
마니커,027740.KS
맥쿼리인프라,088980.KS
메리츠금융지주,138040.KS
메타랩스,090370.KS
모토닉,009680.KS
미래에셋생명,085620.KS
미원화학,134380.KS
백산,035150.KS
범양건영,002410.KS
삼성바이오로직스,207940.KS
삼성증권,016360.KS
삼성카드,029780.KS
삼양홀딩스,000070.KS
삼영무역,002810.KS
삼일제약,000520.KS
삼정펄프,009770.KS
상상인증권,001290.KS
샘표식품,248170.KS
서연이화,200880.KS
성보화학,003080.KS
세아베스틸지주,001430.KS
송원산업,004430.KS
신성이엔지,011930.KS
신세계푸드,031440.KS
쌍용씨앤이,003410.KS
씨아이테크,004920.KS
아모레퍼시픽그룹,002790.KS
아이에스동서,010780.KS
아주스틸,139990.KS
애경산업,018250.KS
애경케미칼,161000.KS
에이프로젠,007460.KS
엔에이치엔,181710.KS
엠씨넥스,097520.KS
예스코홀딩스,015360.KS
우성,006980.KS
웅진,016880.KS
유니켐,011330.KS
유화증권,003460.KS
이구산업,025820.KS
이노션,214320.KS
이마트,139480.KS
이스타코,015020.KS
일성신약,003120.KS
제이에스코퍼레이션,194370.KS
종근당바이오,063160.KS
지투알,035000.KS
진도,088790.KS
진양화학,051630.KS
케이씨,029460.KS
케이탑리츠,145270.KS
코스모신소재,005070.KS
태평양물산,007980.KS
텔코웨어,078000.KS
티와이홀딩스,363280.KS
팜스코,036580.KS
하이스틸,071090.KS
하이트론씨스템즈,019490.KS
한국수출포장공업,002200.KS
한국앤컴퍼니,000240.KS
한국자산신탁,123890.KS
한국전력공사,015760.KS
한국주강,025890.KS
한솔홀딩스,004150.KS
한신기계공업,011700.KS
한일시멘트,300720.KS
한화에어로스페이스,012450.KS
해태제과식품,101530.KS
현대글로비스,086280.KS
현대중공업,329180.KS
화승알앤에이,378850.KS
효성 ITX,094280.KS
휴니드테크놀러지스,005870.KS
AJ네트웍스,095570.KS
CJ대한통운,000120.KS
DL건설,001880.KS
F&F,383220.KS
HJ중공업,097230.KS
HL D&I,014790.KS
HMM,011200.KS
KPX홀딩스,092230.KS
LG생활건강,051900.KS
LG화학,051910.KS
LIG넥스원,079550.KS
NH올원리츠,400760.KS
NH투자증권,005940.KS
NICE,034310.KS
NI스틸,008260.KS
SH에너지화학,002360.KS
SK네트웍스,001740.KS
SK증권,001510.KS
SK텔레콤,017670.KS
경인양행,012610.KS
경인전자,009140.KS
교촌에프앤비,339770.KS
국보,001140.KS
기신정기,092440.KS
까뮤이앤씨,013700.KS
넥센타이어,002350.KS
농심,004370.KS
대덕,008060.KS
대동전자,008110.KS
대림비앤코,005750.KS
대양금속,009190.KS
대웅제약,069620.KS
대창,012800.KS
대한전선,001440.KS
대한항공,003490.KS
대호에이엘,069460.KS
동국제강,001230.KS
