High,Low,Open,Close,Volume,Adj Close
95500.0,92500.0,94000.0,94900.0,76035.0,91493.78125
94900.0,92700.0,94300.0,92900.0,46488.0,89565.5703125
93900.0,92100.0,92900.0,92700.0,32347.0,89372.7578125
93600.0,91700.0,92900.0,92800.0,54315.0,89469.1640625
93400.0,91700.0,93400.0,91800.0,35296.0,88505.0546875
92600.0,90500.0,91600.0,90900.0,71166.0,87637.3671875
91900.0,90200.0,90500.0,91300.0,51393.0,88023.0
92000.0,90700.0,90800.0,91400.0,28422.0,88119.4140625
95000.0,91000.0,91400.0,94400.0,77706.0,91011.734375
95200.0,92200.0,95100.0,92800.0,76127.0,89469.1640625
97000.0,92900.0,93100.0,96400.0,105965.0,92939.9453125
96900.0,95300.0,96400.0,96200.0,39003.0,92747.1328125
97000.0,95000.0,97000.0,95100.0,34184.0,91686.6171875
95800.0,93600.0,95000.0,94300.0,43658.0,90915.3203125
95000.0,92700.0,93700.0,92700.0,47191.0,89372.7578125
92800.0,91800.0,92500.0,92300.0,40317.0,88987.109375
92200.0,91200.0,92200.0,91400.0,46417.0,88119.4140625
93300.0,91000.0,91200.0,92400.0,28417.0,89083.515625
93000.0,91500.0,92400.0,92000.0,30060.0,88697.8671875
93100.0,91200.0,92000.0,91600.0,25447.0,88312.2265625
92000.0,90700.0,92000.0,91000.0,36514.0,87733.7734375
91500.0,90300.0,91000.0,90500.0,51028.0,87251.71875
91000.0,90200.0,90500.0,90900.0,35286.0,87637.3671875
91000.0,90300.0,91000.0,90900.0,27594.0,87637.3671875
91300.0,90200.0,90900.0,90200.0,37801.0,86962.484375
94000.0,90200.0,90200.0,92500.0,88202.0,89179.9296875
93800.0,91700.0,93000.0,92500.0,37940.0,89179.9296875
95200.0,92100.0,93400.0,94600.0,111322.0,91204.5625
95400.0,93400.0,95000.0,93400.0,65592.0,90047.6171875
95200.0,93400.0,94000.0,94000.0,38753.0,90626.0859375
94700.0,93100.0,94000.0,93700.0,34251.0,90336.859375
94500.0,93000.0,94300.0,93000.0,27633.0,89661.984375
93900.0,91200.0,93500.0,92000.0,36080.0,88697.8671875
92500.0,90600.0,91700.0,90800.0,31244.0,87540.9453125
92300.0,90300.0,90800.0,92100.0,20606.0,88794.28125
93300.0,91700.0,92400.0,92800.0,28134.0,89469.1640625
93800.0,92400.0,92400.0,93800.0,27382.0,90433.265625
94600.0,92600.0,93800.0,92600.0,59692.0,89276.34375
96800.0,93300.0,93900.0,96800.0,107913.0,93325.5859375
98700.0,96000.0,96800.0,97500.0,78213.0,94000.46875
98100.0,95000.0,97100.0,96200.0,39103.0,92747.1328125
96700.0,94900.0,96000.0,95500.0,29962.0,92072.25
96400.0,95100.0,96200.0,96400.0,27913.0,92939.9453125
96900.0,95700.0,96400.0,96600.0,33157.0,93132.7734375
96500.0,94200.0,96200.0,96000.0,37658.0,94311.6640625
97500.0,95000.0,96000.0,97100.0,22599.0,95392.328125
98700.0,96600.0,97500.0,96700.0,52129.0,94999.359375
97600.0,96400.0,96600.0,97600.0,55888.0,95883.53125
97700.0,95400.0,97600.0,95600.0,40854.0,93918.6953125
96300.0,94400.0,95400.0,95900.0,30297.0,94213.421875
96100.0,94200.0,95600.0,94600.0,32943.0,92936.2890625
95600.0,94000.0,94600.0,95000.0,27746.0,93329.25
97400.0,94800.0,94900.0,97400.0,58858.0,95687.0390625
97600.0,95400.0,97400.0,95400.0,68136.0,93722.21875
96900.0,94700.0,95600.0,94900.0,40781.0,93231.0078125
95500.0,93300.0,95000.0,93400.0,52297.0,91757.390625
93100.0,91400.0,92900.0,92200.0,91039.0,90578.5
92300.0,91700.0,92000.0,92300.0,45913.0,90676.7421875
92300.0,91100.0,92200.0,91600.0,79406.0,89989.046875
93200.0,91400.0,91400.0,92500.0,56197.0,90873.21875
93400.0,92300.0,92600.0,93300.0,39040.0,91659.1484375
94900.0,93000.0,93400.0,94100.0,48807.0,92445.0859375
92000.0,90500.0,91300.0,90600.0,234132.0,89006.6328125
91200.0,90300.0,90600.0,90800.0,74142.0,89203.109375
90800.0,89900.0,90800.0,90200.0,119046.0,88613.671875
91600.0,90500.0,90600.0,91200.0,88935.0,89596.0859375
92400.0,91000.0,91200.0,91300.0,90379.0,89694.328125
91500.0,89900.0,91300.0,91500.0,70379.0,89890.8046875
91700.0,91100.0,91500.0,91200.0,43746.0,89596.0859375
91400.0,90300.0,91300.0,90900.0,56885.0,89301.359375
90500.0,89600.0,90500.0,89800.0,54948.0,88220.703125
88600.0,87000.0,88300.0,88000.0,110252.0,86452.359375
89000.0,87100.0,88200.0,87300.0,55609.0,85764.671875
88000.0,86500.0,87300.0,87000.0,65052.0,85469.9453125
86400.0,84900.0,86000.0,86300.0,62293.0,84782.2578125
86600.0,84900.0,86600.0,85300.0,40698.0,83799.8515625
86700.0,85000.0,85300.0,85000.0,40522.0,83505.125
85600.0,83600.0,84800.0,84200.0,68837.0,82719.1796875
86400.0,84000.0,84000.0,86100.0,44334.0,84585.765625
86300.0,85500.0,86100.0,85900.0,29258.0,84389.296875
86300.0,84800.0,85500.0,85100.0,48280.0,83603.3515625
85400.0,84600.0,85100.0,85100.0,21734.0,83603.3515625
85600.0,84200.0,85100.0,85200.0,46400.0,83701.6015625
86800.0,85300.0,85900.0,86800.0,40640.0,85273.46875
86900.0,85600.0,86500.0,85800.0,34111.0,84291.0546875
85800.0,83700.0,85300.0,84100.0,66008.0,82620.953125
83800.0,82200.0,83600.0,82300.0,36486.0,80852.609375
82600.0,80900.0,82300.0,80900.0,28926.0,79477.2265625
82100.0,81100.0,81100.0,81200.0,36444.0,79771.953125
81500.0,79100.0,81200.0,79100.0,71431.0,77708.8828125
79700.0,78400.0,79100.0,79500.0,62317.0,78101.84375
81200.0,79500.0,79500.0,80100.0,59354.0,78691.296875
81600.0,80100.0,80300.0,81600.0,38694.0,80164.9140625
81900.0,80800.0,80800.0,81600.0,44103.0,80164.9140625
