High,Low,Open,Close,Volume,Adj Close
14300,12000,12650,12000,11609074,12000
13000,12150,12300,12250,4033208,12250
12150,10950,12100,10950,4843811,10950
11300,10900,11000,11000,1879288,11000
10850,10600,10700,10700,2426922,10700
10700,10300,10650,10400,2709800,10400
10650,10350,10450,10450,1737593,10450
11150,10500,10550,10800,2714980,10800
11100,10650,10800,10950,1362497,10950
11350,10950,11000,11150,1664087,11150
11150,10800,11150,10800,1671893,10800
10900,10650,10800,10700,1040819,10700
11000,10800,10800,10900,849624,10900
11650,10950,11000,11600,2152388,11600
11800,11450,11600,11550,1455907,11550
11550,11200,11550,11200,1476215,11200
11400,11100,11200,11250,862716,11250
11350,11100,11200,11200,637311,11200
11350,11200,11250,11300,603776,11300
11550,11200,11350,11250,996411,11250
11250,11100,11250,11250,879902,11250
11300,11150,11300,11200,953657,11200
11450,11150,11200,11300,1020862,11300
11400,11200,11300,11200,682771,11200
11300,11200,11250,11250,808334,11250
11250,11100,11250,11200,641594,11200
11200,11000,11200,11050,978065,11050
11150,11000,11050,11050,596052,11050
11150,11050,11050,11100,520432,11100
11100,10950,11050,11000,866260,11000
11050,10800,11000,10850,700361,10850
10800,10600,10750,10650,892855,10650
11000,10700,10700,10850,459872,10850
10950,10750,10950,10950,596120,10950
10950,10800,10950,10800,375921,10800
10950,10800,10950,10900,315084,10900
10900,10800,10850,10900,304341,10900
10850,10750,10800,10750,306961,10750
10800,10600,10600,10700,555567,10700
10800,10650,10750,10750,289309,10750
10800,10650,10750,10750,413771,10750
10850,10700,10750,10750,353043,10750
10800,10600,10750,10650,360350,10650
10750,10600,10600,10700,283252,10700
10700,10500,10650,10500,699652,10500
10600,10450,10550,10550,338793,10550
10550,10400,10550,10450,514075,10450
10500,10400,10450,10500,249848,10500
10500,10300,10450,10400,444969,10400
10650,10350,10400,10550,347279,10550
10800,10500,10550,10650,336483,10650
10700,10550,10650,10700,209008,10700
10700,10550,10700,10600,267766,10600
10600,10450,10600,10550,272542,10550
10550,10400,10500,10450,295417,10450
10550,10400,10450,10450,341715,10450
10450,10250,10450,10350,647872,10350
10350,10100,10300,10200,508361,10200
10200,9980,10150,10100,666621,10100
10050,9710,9990,9710,1147477,9710
9800,9460,9730,9500,718295,9500
9800,9420,9510,9670,421615,9670
9940,9650,9650,9810,401761,9810
9870,9760,9810,9830,197597,9830
9900,9600,9830,9740,252291,9740
9850,9640,9650,9770,198098,9770
10100,9810,9840,10000,307335,10000
10100,9850,9980,9870,403375,9870
9960,9830,9840,9930,182457,9930
9980,9870,9930,9910,174356,9910
10050,9880,9910,9980,258346,9980
10050,9910,9990,9930,207270,9930
10350,9970,10100,10250,502966,10250
10350,10100,10300,10150,296939,10150
10200,10000,10100,10000,243291,10000
10100,9990,10000,10050,142437,10050
10150,9970,10000,10050,236548,10050
10250,10000,10050,10150,351271,10150
10150,9990,10150,10000,313358,10000
10100,9960,10000,9980,244940,9980
9980,9860,9970,9930,321784,9930
10050,9850,9860,9870,218250,9870
9980,9840,9930,9850,232306,9850
9900,9790,9840,9820,227977,9820
9850,9650,9820,9670,373726,9670
9640,9480,9520,9510,461988,9510
9600,9490,9500,9510,221565,9510
9520,9340,9460,9350,409139,9350
9320,8990,9310,9080,682269,9080
9160,8760,9100,8770,756028,8770
8940,8740,8770,8900,382589,8900
8920,8810,8850,8880,215483,8880
8880,8630,8860,8710,396015,8710
8800,8650,8650,8760,261049,8760
8950,8750,8750,8920,248416,8920
9060,8900,8930,8950,241522,8950
8970,8840,8950,8900,272884,8900
9020,8890,8920,8950,187240,8950
9080,8930,8950,8950,174199,8950
8980,8880,8890,8880,262633,8880
8980,8830,8870,8880,240766,8880
8910,8830,8850,8890,252469,8890
9190,8910,8920,9180,227880,9180
9200,9050,9200,9090,136695,9090
9100,8910,9100,8940,266730,8940
9030,8790,8940,8820,323187,8820
8940,8800,8810,8870,176332,8870
9070,8830,8870,9000,206111,9000
9050,8930,9010,8940,159430,8940
9060,8850,8970,8900,209670,8900
8950,8790,8940,8810,206360,8810
8930,8770,8820,8920,148677,8920
9020,8800,8930,8860,231454,8860
8870,8650,8860,8680,410126,8680
8690,8560,8680,8610,257380,8610
8820,8630,8630,8670,316856,8670
8850,8670,8680,8820,238005,8820
9560,8810,8830,9140,1125518,9140
9210,8930,9140,8950,318482,8950
9010,8650,8950,8890,370015,8890
8920,8810,8820,8880,242939,8880
8960,8800,8810,8950,258374,8950
8960,8870,8920,8950,259845,8950
9440,8940,8950,9370,859698,9370
9390,9150,9380,9180,492873,9180
9250,8980,9170,9050,493347,9050
9100,8860,8920,8900,454184,8900
9020,8700,8920,8730,618383,8730
8930,8680,8700,8850,411578,8850
9080,8700,8720,9080,461879,9080
9090,8940,9020,9080,420133,9080
9980,9080,9090,9560,2771120,9560
9850,9450,9560,9790,1183142,9790
10100,9710,9810,9760,1201799,9760
10050,9680,9780,9910,1850321,9910
10050,9810,9920,9950,961197,9950
10450,10000,10100,10150,848370,10150
10500,10050,10400,10100,1014433,10100
11050,10100,10200,10950,3123587,10950
11100,10600,11000,10700,878786,10700
10600,10150,10550,10200,1515882,10200
10350,9990,10200,10150,789139,10150
10200,9910,10100,9930,771322,9930
10050,9870,9900,9950,499431,9950
10050,9920,9930,9920,334974,9920
10150,9940,9950,10050,486291,10050
10150,9910,10150,9930,465751,9930
10250,9990,10200,10200,693726,10200
10250,10000,10000,10150,393941,10150
10150,10000,10050,10000,346995,10000
10550,10100,10150,10450,545873,10450
10450,10250,10450,10400,271873,10400
10350,10100,10200,10250,381593,10250
10400,10200,10250,10300,310636,10300
10500,10250,10350,10400,302539,10400
10400,10150,10400,10300,380279,10300
10400,10250,10300,10250,256319,10250
10350,10150,10250,10200,183695,10200
10250,10100,10150,10150,248554,10150
10150,9980,10150,10000,291502,10000
10150,10000,10000,10050,164865,10050
10150,9930,9980,10050,258074,10050
10150,9990,10050,10000,184933,10000
10050,9910,10000,9970,235803,9970
9980,9800,9900,9880,413787,9880
9930,9500,9890,9550,427403,9550
9640,9420,9550,9480,173816,9480
9500,9070,9420,9100,500793,9100
9460,8980,9100,9430,375472,9430
10100,9530,9530,9990,488058,9990
10200,9910,9980,10150,237849,10150
10300,10100,10200,10250,316002,10250
10250,10250,10250,10250,0,10250
10250,10250,10250,10250,0,10250
10300,10050,10200,10100,339491,10100
10200,9990,10000,10050,171103,10050
9980,9840,9890,9860,226907,9860
9950,9750,9880,9750,188193,9750
10150,9860,9950,10050,239447,10050
10150,9920,10050,9980,170450,9980
10100,9870,9880,10000,108943,10000
10050,9970,9990,10000,85914,10000
10000,10000,10000,10000,0,10000
9970,9800,9950,9840,321770,9840
9830,9540,9770,9570,311975,9570
9820,9650,9790,9820,145973,9820
9930,9720,9820,9760,145197,9760
9850,9720,9770,9770,107829,9770
9890,9800,9800,9850,99417,9850
9850,9850,9850,9850,0,9850
9780,9670,9730,9700,118583,9700
9700,9590,9630,9620,128438,9620
9620,9620,9620,9620,0,9620
9770,9650,9650,9680,70629,9680
9700,9520,9680,9530,175137,9530
9530,9530,9530,9530,0,9530
9530,9530,9530,9530,0,9530
9760,9610,9620,9730,142451,9730
9750,9590,9730,9590,240351,9590
9590,9590,9590,9590,0,9590
9670,9550,9630,9590,186300,9590
9660,9580,9620,9600,103067,9600
9700,9560,9600,9700,136011,9700
9750,9660,9720,9670,88923,9670
9670,9670,9670,9670,0,9670
9720,9600,9620,9610,141461,9610
9650,9540,9620,9610,171544,9610
9730,9590,9610,9630,229958,9630
9660,9580,9640,9600,100061,9600
9620,9530,9600,9590,186904,9590
9670,9570,9660,9660,68058,9660
9630,9590,9620,9600,90449,9600
9600,9500,9600,9530,150044,9530
9570,9500,9570,9530,85717,9530
9570,9440,9530,9490,139707,9490
9500,9390,9460,9410,124186,9410
9480,9370,9370,9460,116365,9460
9550,9480,9490,9490,86458,9490
9700,9470,9490,9640,237611,9640
9730,9640,9640,9700,155655,9700
