Ticker,Name,Exchange
AUDUSD=X,AUD/USD,CCY
AUDCHF=X,AUD/CHF,CCY
AUDNZD=X,AUD/NZD,CCY
AUDEUR=X,AUD/EUR,CCY
AUDTWD=X,AUD/TWD,CCY
AUDMXN=X,AUD/MXN,CCY
AUDJPY=X,AUD/JPY,CCY
NZDJPY=X,NZD/JPY,CCY
EURXAF=X,EUR/XAF,CCY
EURPEN=X,EUR/PEN,CCY
EURBDT=X,EUR/BDT,CCY
CAD=X,USD/CAD,CCY
AZNUSD=X,AZN/USD,CCY
AZNCHF=X,AZN/CHF,CCY
AUDSCR=X,AUD/SCR,CCY
AUDMOP=X,AUD/MOP,CCY
AUDKRW=X,AUD/KRW,CCY
AUDHNL=X,AUD/HNL,CCY
AUDGIP=X,AUD/GIP,CCY
AUDGBP=X,AUD/GBP,CCY
AUDCZK=X,AUD/CZK,CCY
AUDCLP=X,AUD/CLP,CCY
AUDCAD=X,AUD/CAD,CCY
ARSKRW=X,ARS/KRW,CCY
ARSGBP=X,ARS/GBP,CCY
ALLGBP=X,ALL/GBP,CCY
AEDTWD=X,AED/TWD,CCY
AEDSEK=X,AED/SEK,CCY
AEDQAR=X,AED/QAR,CCY
AEDOMR=X,AED/OMR,CCY
AEDMXN=X,AED/MXN,CCY
AEDMAD=X,AED/MAD,CCY
AEDLTL=X,AED/LTL,CCY
AEDKWD=X,AED/KWD,CCY
AEDHKD=X,AED/HKD,CCY
AEDCNY=X,AED/CNY,CCY
AEDAUD=X,AED/AUD,CCY
AEDKRW=X,AED/KRW,CCY
XF000EURCOP7.SG,,
AEDUSD=X,AED/USD,CCY
ARSCOP=X,ARS/COP,CCY
AUDRON=X,AUD/RON,CCY
ARSUSD=X,ARS/USD,CCY
AEDISK=X,AED/ISK,CCY
AEDLVL=X,AED/LVL,CCY
EURUYU=X,EUR/UYU,CCY
EUR-BDT.F,EUR-BDT.F,
AEDPHP=X,AED/PHP,CCY
AEDCAD=X,AED/CAD,CCY
HU32.EX,,
AUTIE.SW,,
AUDBMD=X,AUD/BMD,CCY
ARSCLP=X,ARS/CLP,CCY
AWG=X,USD/AWG,CCY
AUDVEF=X,AUD/VEF,CCY
ANGEUR=X,ANG/EUR,CCY
AEDSGD=X,AED/SGD,CCY
AEDKES=X,AED/KES,CCY
AEDNZD=X,AED/NZD,CCY
ANGZAR=X,ANG/ZAR,CCY
EUR-TRY.F,EUR-TRY.F,FRA
ARSHKD=X,ARS/HKD,CCY
HG12.EX,,
AUDMAD=X,AUD/MAD,CCY
AUDTND=X,AUD/TND,CCY
AUDMGA=X,AUD/MGA,CCY
AUD=X,USD/AUD,CCY
AUDILS=X,AUD/ILS,CCY
ARSMXN=X,ARS/MXN,CCY
AUDOMR=X,AUD/OMR,CCY
ARSVEF=X,ARS/VEF,CCY
AUDRUB=X,AUD/RUB,CCY
AUDLVL=X,AUD/LVL,CCY
AEDBHD=X,AED/BHD,CCY
EURJOD=X,EUR/JOD,CCY
ALLEUR=X,ALL/EUR,CCY
881347.VI,881347.VI,VIE
AUDBWP=X,AUD/BWP,CCY
AUBEZ.SW,,
AUDGHS=X,AUD/GHS,CCY
