,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-01-03,8.7945,8.974,8.7775,8.9515,8.9515,102216000
1,2012-01-04,8.9605,9.025,8.8035,8.8755,8.8755,84104000
2,2012-01-05,8.797,8.9125,8.7025,8.8805,8.8805,76182000
3,2012-01-06,8.9035,9.2325,8.875,9.1305,9.1305,140168000
4,2012-01-09,9.138,9.2185,8.85,8.928,8.928,101138000
5,2012-01-10,9.055,9.12,8.855,8.967,8.967,79716000
6,2012-01-11,8.982,9.0385,8.9095,8.945,8.945,62054000
7,2012-01-12,8.971,8.9745,8.7875,8.7965,8.7965,107716000
8,2012-01-13,8.7905,8.94,8.675,8.921,8.921,95070000
9,2012-01-17,9.0075,9.165,8.9255,9.083,9.083,112890000
10,2012-01-18,9.097,9.5125,9.056,9.472,9.472,149470000
11,2012-01-19,9.544,9.797,9.518,9.7225,9.7225,141920000
12,2012-01-20,9.5355,9.645,9.452,9.5465,9.5465,112206000
13,2012-01-23,9.5395,9.5865,9.2615,9.3045,9.3045,91706000
14,2012-01-24,9.25,9.4205,9.191,9.35,9.35,93476000
15,2012-01-25,9.3495,9.4085,9.2305,9.39,9.39,86128000
16,2012-01-26,9.465,9.7425,9.4365,9.666,9.666,117472000
17,2012-01-27,9.6545,9.825,9.6165,9.7685,9.7685,93180000
18,2012-01-30,9.684,9.75,9.5065,9.6075,9.6075,108482000
19,2012-01-31,9.7,9.7815,9.485,9.722,9.722,255444000
20,2012-02-01,8.6905,8.9975,8.6,8.973,8.973,426732000
21,2012-02-02,8.9825,9.097,8.84,9.086,9.086,174726000
22,2012-02-03,9.1415,9.395,9.0945,9.384,9.384,162410000
23,2012-02-06,9.314,9.328,9.146,9.157,9.157,106200000
24,2012-02-07,9.1325,9.247,9.103,9.2095,9.2095,102078000
25,2012-02-08,9.2475,9.3245,9.1455,9.274,9.274,109532000
26,2012-02-09,9.225,9.2845,9.088,9.249,9.249,143784000
27,2012-02-10,9.171,9.3815,9.126,9.277,9.277,115942000
28,2012-02-13,9.3585,9.625,9.284,9.5795,9.5795,121428000
29,2012-02-14,9.554,9.6785,9.305,9.565,9.565,190542000
30,2012-02-15,9.5645,9.577,9.163,9.2235,9.2235,155888000
31,2012-02-16,8.8895,9.084,8.757,8.9965,8.9965,251276000
32,2012-02-17,9.0045,9.1705,8.968,9.125,9.125,148362000
33,2012-02-21,9.1325,9.2375,9.029,9.113,9.113,135130000
34,2012-02-22,9.0975,9.1495,9.0145,9.029,9.029,115708000
35,2012-02-23,8.982,9.0375,8.848,8.9445,8.9445,103076000
36,2012-02-24,8.985,9.037,8.9185,8.9565,8.9565,73374000
37,2012-02-27,8.877,8.9595,8.825,8.9265,8.9265,74124000
38,2012-02-28,8.945,9.2145,8.8975,9.19,9.19,115290000
39,2012-02-29,9.1945,9.2,8.9505,8.9845,8.9845,106006000
40,2012-03-01,8.9945,9.0245,8.829,9.002,9.002,98720000
41,2012-03-02,8.974,9.092,8.946,8.965,8.965,73156000
42,2012-03-05,8.95,9.091,8.909,9.013,9.013,93654000
43,2012-03-06,8.934,9.175,8.902,9.0545,9.0545,112244000
44,2012-03-07,9.1325,9.275,9.12,9.1885,9.1885,99030000
45,2012-03-08,9.2085,9.419,9.19,9.382,9.382,84430000
46,2012-03-09,9.3395,9.36,9.172,9.216,9.216,90212000
47,2012-03-12,9.2065,9.27,9.11,9.1695,9.1695,51752000
48,2012-03-13,9.196,9.2435,9.0385,9.2295,9.2295,88116000
49,2012-03-14,9.1825,9.216,9.057,9.113,9.113,73994000
50,2012-03-15,9.101,9.2215,9.015,9.2215,9.2215,83202000
51,2012-03-16,9.164,9.284,9.1175,9.2525,9.2525,98680000
52,2012-03-19,9.1725,9.334,9.15,9.276,9.276,78068000
53,2012-03-20,9.244,9.7205,9.144,9.6165,9.6165,183308000
54,2012-03-21,9.625,9.714,9.563,9.5865,9.5865,84288000
55,2012-03-22,9.527,9.703,9.513,9.62,9.62,74792000
56,2012-03-23,9.6005,9.81,9.59,9.752,9.752,119680000
57,2012-03-26,9.824,10.1485,9.775,10.1435,10.1435,152274000
58,2012-03-27,10.1795,10.4925,10.144,10.272,10.272,192016000
59,2012-03-28,10.307,10.35,10.0155,10.058,10.058,124900000
60,2012-03-29,10.064,10.2655,10.0315,10.2305,10.2305,114224000
61,2012-03-30,10.251,10.3425,10.0935,10.1255,10.1255,88762000
62,2012-04-02,9.901,9.995,9.85,9.9025,9.9025,128606000
63,2012-04-03,9.912,10.1195,9.875,9.983,9.983,100014000
64,2012-04-04,9.8475,9.884,9.618,9.6995,9.6995,109138000
65,2012-04-05,9.6775,9.8015,9.6775,9.7195,9.7195,64350000
66,2012-04-09,9.601,9.71,9.525,9.5935,9.5935,62718000
67,2012-04-10,9.6375,9.676,9.3285,9.349,9.349,89100000
68,2012-04-11,9.4815,9.5985,9.3395,9.3985,9.3985,86756000
69,2012-04-12,9.403,9.613,9.2805,9.5345,9.5345,80558000
70,2012-04-13,9.495,9.497,9.313,9.423,9.423,68636000
71,2012-04-16,9.4505,9.4735,9.1825,9.275,9.275,80886000
72,2012-04-17,9.3605,9.502,9.3435,9.4195,9.4195,56584000
73,2012-04-18,9.441,9.6725,9.437,9.5535,9.5535,80038000
74,2012-04-19,9.6465,9.7275,9.4875,9.555,9.555,80048000
75,2012-04-20,9.617,9.674,9.49,9.499,9.499,64872000
76,2012-04-23,9.4495,9.4495,9.2755,9.412,9.412,69620000
77,2012-04-24,9.434,9.535,9.3255,9.5165,9.5165,67526000
78,2012-04-25,9.5835,9.74,9.58,9.721,9.721,79102000
79,2012-04-26,9.6785,9.818,9.651,9.7995,9.7995,204680000
80,2012-04-27,11.2415,11.4345,11.011,11.3425,11.3425,442338000
81,2012-04-30,11.1975,11.692,11.1525,11.595,11.595,195138000
