,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-01-03,48.299999,48.959999,48.139999,48.389999,41.333645,6955400
1,2012-01-04,48.02,48.380001,47.400002,48.240002,41.35936,4847600
2,2012-01-05,47.84,49.25,47.700001,48.799999,41.839478,6095100
3,2012-01-06,48.869999,48.970001,48.049999,48.27,41.385082,4894300
4,2012-01-09,48.32,48.700001,48.119999,48.389999,41.487968,5273000
5,2012-01-10,48.959999,49.119999,48.279999,48.669998,41.72802,6838600
6,2012-01-11,48.450001,49.080002,48.200001,48.950001,41.96809,4497700
7,2012-01-12,49.189999,49.689999,48.950001,49.650002,42.568249,5693400
8,2012-01-13,49.130001,49.799999,48.82,49.759998,42.662563,5741700
9,2012-01-17,49.59,50.450001,49.59,50.220001,43.056946,6533900
10,2012-01-18,50.130001,50.970001,49.950001,50.560001,43.34845,7301300
11,2012-01-19,50.709999,51.0,50.459999,50.950001,43.682816,6423200
12,2012-01-20,49.130001,50.080002,48.84,50.040001,42.902618,12745800
13,2012-01-23,50.02,50.639999,49.240002,49.439999,42.388203,7326800
14,2012-01-24,49.099998,49.599998,48.900002,49.23,42.20816,5475800
15,2012-01-25,49.400002,50.5,49.25,50.169998,43.01408,6667400
16,2012-01-26,50.369999,50.68,49.720001,49.98,42.851177,6221000
17,2012-01-27,49.669998,50.279999,49.669998,49.849998,42.739708,5398100
18,2012-01-30,49.43,49.459999,48.900002,49.119999,42.113834,5490100
19,2012-01-31,49.5,50.189999,49.169998,50.139999,42.988354,6896300
20,2012-02-01,50.369999,50.939999,50.27,50.619999,43.399891,6105800
21,2012-02-02,50.720001,51.43,50.599998,51.16,43.862869,6457200
22,2012-02-03,51.849998,52.450001,51.779999,52.25,44.797398,8171900
23,2012-02-06,51.880001,52.119999,51.360001,51.810001,44.420151,5664300
24,2012-02-07,51.529999,52.610001,51.529999,52.130001,44.694508,5944800
25,2012-02-08,51.84,52.09,51.419998,51.639999,44.274395,6073300
26,2012-02-09,51.849998,52.599998,51.830002,52.310001,44.848846,7259300
27,2012-02-10,51.82,52.200001,51.529999,51.810001,44.420151,4077400
28,2012-02-13,52.240002,52.299999,51.849998,52.07,44.643059,3631800
29,2012-02-14,52.02,52.169998,51.5,51.959999,44.548763,4794700
30,2012-02-15,52.419998,52.419998,51.380001,51.52,44.171513,5480500
31,2012-02-16,51.540001,53.029999,51.5,52.869999,45.328976,8042800
32,2012-02-17,53.310001,53.310001,52.68,52.860001,45.320404,5158000
33,2012-02-21,52.720001,52.990002,52.529999,52.849998,45.311825,5082700
34,2012-02-22,52.77,53.09,52.709999,52.790001,45.260365,4829500
35,2012-02-23,52.790001,53.029999,52.459999,52.669998,45.157482,4345900
36,2012-02-24,52.93,53.419998,52.790001,53.330002,45.723366,4985300
37,2012-02-27,52.93,54.450001,52.619999,54.18,46.452118,6781500
38,2012-02-28,53.57,53.970001,53.07,53.759998,46.092014,7067600
39,2012-02-29,53.459999,53.84,52.57,52.889999,45.346111,10159700
40,2012-03-01,53.029999,53.880001,52.93,53.57,45.929115,5398900
41,2012-03-02,53.560001,53.580002,52.830002,52.990002,45.431862,4751300
42,2012-03-05,52.650002,53.009998,52.310001,52.970001,45.414703,6074700
43,2012-03-06,52.419998,52.540001,51.540001,51.740002,44.360126,6109800
44,2012-03-07,51.84,52.41,51.759998,52.27,44.814541,5116100
45,2012-03-08,52.740002,53.09,52.490002,52.950001,45.397537,4341000
46,2012-03-09,53.029999,53.470001,52.810001,53.200001,45.611908,4329800
47,2012-03-12,53.200001,53.240002,52.509998,52.77,45.243225,3983200
48,2012-03-13,53.169998,54.25,52.75,54.25,46.512127,6954000
49,2012-03-14,54.66,56.279999,54.459999,56.150002,48.141132,12001900
50,2012-03-15,56.060001,56.759998,55.66,56.720001,48.629841,7985300
51,2012-03-16,57.310001,57.380001,56.43,56.549999,48.484077,11287500
52,2012-03-19,56.599998,57.5,56.41,57.27,49.101372,5605000
53,2012-03-20,56.720001,57.240002,56.529999,56.91,48.792728,5450400
54,2012-03-21,57.080002,57.5,56.91,57.049999,48.912754,6034100
55,2012-03-22,56.779999,57.549999,56.450001,57.290001,49.118519,6047600
56,2012-03-23,57.279999,57.529999,56.869999,57.25,49.084236,4420500
57,2012-03-26,57.75,58.75,57.599998,58.66,50.293106,6341600
58,2012-03-27,59.0,59.18,58.209999,58.220001,49.915874,5683000
59,2012-03-28,58.380001,59.259998,58.380001,59.060001,50.636063,7925900
60,2012-03-29,58.279999,58.439999,57.240002,57.889999,49.632946,7397600
61,2012-03-30,58.18,58.310001,57.540001,57.860001,49.607227,5779700
62,2012-04-02,57.900002,58.330002,57.470001,58.009998,49.735828,6674200
63,2012-04-03,57.889999,58.5,57.75,58.389999,50.23481,5782800
64,2012-04-04,57.98,58.09,57.209999,57.369999,49.357269,5107700
65,2012-04-05,57.23,58.200001,57.209999,58.099998,49.985325,4411800
66,2012-04-09,57.220001,57.369999,56.82,57.16,49.176601,4259500
67,2012-04-10,57.099998,57.59,56.139999,56.18,48.333481,6739600
68,2012-04-11,56.799999,57.16,56.650002,56.950001,48.995945,6449700
69,2012-04-12,57.040001,58.07,56.73,58.040001,49.933704,4881200
70,2012-04-13,58.009998,58.09,57.18,57.279999,49.27985,5574900
71,2012-04-16,57.73,58.060001,57.060001,57.830002,49.753036,6443700
72,2012-04-17,57.959999,58.389999,57.650002,58.18,50.054153,5197600
73,2012-04-18,58.16,58.700001,57.950001,58.040001,49.933704,5669900
74,2012-04-19,57.720001,58.310001,57.099998,57.57,49.529343,7207800
75,2012-04-20,57.52,57.810001,57.18,57.450001,49.426098,7844600
76,2012-04-23,56.959999,57.389999,56.5,57.32,49.314251,6168200
77,2012-04-24,57.240002,57.759998,57.09,57.630001,49.580975,5401100
78,2012-04-25,57.939999,59.0,57.830002,58.91,50.682194,8184700
79,2012-04-26,58.849998,59.720001,58.75,59.59,51.267212,6168400
80,2012-04-27,59.849998,60.959999,59.830002,60.169998,51.766205,13975100
81,2012-04-30,60.049999,60.310001,59.75,60.209999,51.800617,7902500
82,2012-05-01,59.950001,61.169998,59.669998,60.970001,52.454468,10332800
83,2012-05-02,60.5,61.419998,60.330002,61.049999,52.523304,8132000
84,2012-05-03,61.130001,61.330002,60.380001,60.860001,52.359852,6919500
85,2012-05-04,60.68,60.709999,60.040001,60.099998,51.705975,6152100
86,2012-05-07,60.060001,60.650002,59.91,60.099998,51.705975,4409300
87,2012-05-08,59.860001,60.200001,59.16,59.889999,51.525311,6122200
88,2012-05-09,59.169998,59.990002,58.93,59.459999,51.155373,7830700
89,2012-05-10,59.869999,59.950001,59.27,59.419998,51.12096,4137300
90,2012-05-11,59.169998,60.07,59.0,59.639999,51.310238,4185600
91,2012-05-14,59.02,59.439999,58.380001,58.419998,50.260628,5653900
92,2012-05-15,58.419998,58.869999,57.779999,57.939999,49.847668,5089500
93,2012-05-16,58.34,58.790001,57.349998,57.389999,49.374477,5261800
94,2012-05-17,57.369999,57.43,55.619999,55.650002,47.877518,8427200
95,2012-05-18,55.740002,55.84,55.049999,55.400002,47.662434,8783700
96,2012-05-21,55.82,56.52,55.560001,56.330002,48.46254,4568600
97,2012-05-22,56.48,57.240002,56.040001,56.349998,48.479729,5858600
98,2012-05-23,55.82,56.099998,54.799999,55.970001,48.152805,6549800
99,2012-05-24,55.990002,56.360001,55.689999,56.34,48.471127,4486100
100,2012-05-25,56.279999,56.360001,55.619999,55.810001,48.01516,3264300
101,2012-05-29,56.25,56.779999,55.939999,56.560001,48.660416,4128600
102,2012-05-30,55.84,55.990002,55.279999,55.459999,47.714046,5272000
103,2012-05-31,55.580002,56.16,55.02,55.830002,48.032368,5433700
104,2012-06-01,54.619999,55.32,53.18,53.43,45.96756,8749200
105,2012-06-04,53.470001,54.110001,53.200001,53.509998,46.036377,6101900
106,2012-06-05,53.459999,54.099998,53.240002,53.98,46.440746,6156300
107,2012-06-06,54.610001,55.380001,54.23,55.380001,47.645226,5329500
108,2012-06-07,56.060001,56.369999,55.110001,55.240002,47.524765,5340500
109,2012-06-08,55.130001,55.860001,54.84,55.860001,48.058174,4001200
