,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-01-03,5.75,5.89,5.74,5.8,4.933272,246293200
1,2012-01-04,5.71,5.88,5.62,5.81,4.941779,243711200
2,2012-01-05,5.75,6.35,5.71,6.31,5.367059,547780000
3,2012-01-06,6.21,6.3,6.06,6.18,5.256485,299630600
4,2012-01-09,6.26,6.37,6.19,6.27,5.333036,240614400
5,2012-01-10,6.44,6.66,6.44,6.63,5.639241,354292100
6,2012-01-11,6.6,6.9,6.52,6.87,5.843376,354039600
7,2012-01-12,6.99,7.02,6.66,6.79,5.77533,362099600
8,2012-01-13,6.49,6.69,6.41,6.61,5.622228,337048400
9,2012-01-17,6.63,6.82,6.44,6.48,5.511656,294196500
10,2012-01-18,6.5,6.8,6.46,6.8,5.783836,302497700
11,2012-01-19,7.21,7.29,6.75,6.96,5.919926,491008100
12,2012-01-20,6.95,7.08,6.83,7.07,6.013487,236630700
13,2012-01-23,7.13,7.37,7.11,7.25,6.166589,339942200
14,2012-01-24,7.11,7.35,7.06,7.29,6.200612,228810300
15,2012-01-25,7.2,7.37,7.15,7.35,6.251647,249340100
16,2012-01-26,7.45,7.5,7.23,7.3,6.209118,265938800
17,2012-01-27,7.21,7.35,7.2,7.29,6.200612,230914000
18,2012-01-30,7.13,7.15,7.02,7.07,6.013487,231240100
19,2012-01-31,7.17,7.19,7.05,7.13,6.064521,212736300
20,2012-02-01,7.25,7.44,7.21,7.36,6.260151,318811000
21,2012-02-02,7.43,7.49,7.33,7.45,6.336701,232425400
22,2012-02-03,7.66,7.89,7.63,7.84,6.668422,364195700
23,2012-02-06,7.79,7.97,7.77,7.97,6.778996,236316000
24,2012-02-07,7.95,7.99,7.8,7.85,6.676928,253694200
25,2012-02-08,7.96,8.15,7.93,8.13,6.915086,436439700
26,2012-02-09,8.31,8.35,8.1,8.18,6.957614,480206700
27,2012-02-10,8.05,8.12,7.98,8.07,6.864051,254420800
28,2012-02-13,8.27,8.31,8.21,8.25,7.017153,308490200
29,2012-02-14,8.15,8.17,7.95,7.98,6.787501,384682800
30,2012-02-15,8.01,8.12,7.77,7.78,6.617389,372981400
31,2012-02-16,7.71,8.13,7.66,8.09,6.881064,337131800
32,2012-02-17,8.04,8.08,7.92,8.02,6.821523,355445600
33,2012-02-21,8.03,8.2,8.0,8.11,6.898074,333407700
34,2012-02-22,8.06,8.13,7.95,7.95,6.761983,228867800
35,2012-02-23,7.97,8.05,7.9,8.02,6.821523,144231800
36,2012-02-24,8.05,8.09,7.88,7.88,6.702443,163128200
37,2012-02-27,7.79,8.05,7.67,8.04,6.838535,298930800
38,2012-02-28,8.05,8.15,8.0,8.12,6.90658,193443200
39,2012-02-29,8.16,8.24,7.97,7.97,6.787355,266720500
40,2012-03-01,8.09,8.17,8.05,8.12,6.915096,197850100
41,2012-03-02,8.11,8.21,8.1,8.13,6.923613,143887500
42,2012-03-05,8.09,8.13,7.95,7.97,6.787355,196328300
