,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-01-03,8.23,8.3,8.02,8.04,7.141504,7093200
1,2012-01-04,8.03,8.14,7.83,8.01,7.114857,7412900
2,2012-01-05,8.03,8.35,7.87,8.33,7.399096,10509800
3,2012-01-06,8.26,8.43,8.24,8.32,7.390214,6683300
4,2012-01-09,8.34,8.5,8.26,8.28,7.354683,9015700
5,2012-01-10,8.35,8.39,8.13,8.27,7.345803,6933800
6,2012-01-11,8.34,8.62,8.22,8.61,7.647804,6801100
7,2012-01-12,8.6,8.98,8.47,8.87,7.878749,12891800
8,2012-01-13,8.7,9.01,8.62,8.85,7.860983,10127900
9,2012-01-17,8.87,8.91,8.66,8.73,7.754394,6881500
10,2012-01-18,8.79,9.12,8.63,8.92,7.923162,14086800
11,2012-01-19,8.94,9.47,8.92,9.33,8.287341,14325100
12,2012-01-20,9.3,9.5,9.25,9.41,8.358402,7844600
13,2012-01-23,9.42,9.56,9.29,9.29,8.251813,15346500
14,2012-01-24,9.29,9.49,9.19,9.38,8.331758,12709100
15,2012-01-25,9.92,10.3,9.92,9.96,8.846936,41332200
16,2012-01-26,10.28,10.55,10.11,10.17,9.033471,31724900
17,2012-01-27,10.08,10.58,10.01,10.39,9.228883,12840700
18,2012-01-30,10.42,10.88,10.27,10.77,9.566416,15348800
19,2012-01-31,10.77,10.8,10.3,10.55,9.371003,14524000
20,2012-02-01,10.68,11.01,10.61,10.9,9.68189,11502100
21,2012-02-02,10.9,11.17,10.82,11.1,9.859541,10674900
22,2012-02-03,11.25,11.58,11.25,11.3,10.037187,15182000
23,2012-02-06,11.26,11.28,10.92,10.99,9.761831,9530600
24,2012-02-07,11.03,11.24,10.93,10.97,9.744066,8105500
25,2012-02-08,10.91,11.04,10.7,10.99,9.761831,7824800
26,2012-02-09,11.0,11.15,10.78,11.12,9.877302,8789600
27,2012-02-10,10.93,11.15,10.81,10.89,9.673011,8179100
28,2012-02-13,10.94,11.24,10.91,11.15,9.90395,7591600
29,2012-02-14,11.1,11.15,10.82,10.94,9.71742,9437400
